site_ref,job,suffix,item,description,oper_num,sequence,Material,MaterialDescription,matl_qty,qty_issued
HPI,3J00000088,1,CSB6401012,HP-60/80 CASING BLOCK,10,1,CS06400110-13A,80HP CASING PBT SK602 w/ STAMP,1.00000000,1500.00000000
HPI,3J00000088,1,CSB6401012,HP-60/80 CASING BLOCK,10,2,VV02200300-01,xx)co)kp)HP-80 AIR VALVE RUBBER,2.00000000,3000.00000000
HPI,3J00000088,1,CSB6401012,HP-60/80 CASING BLOCK,10,3,VC03200200-05A,80HP VALVE COVER PBT SK602,1.00000000,1500.00000000
HPI,3J00000089,1,DFB6602001,HP-80 DF BLOCK,10,1,DF06600200-02A,xx)co)kp)80HP DIAPHRAGM 66x13x2.2 EPN602,1.00000000,1450.00000000
HPI,3J00000089,1,DFB6602001,HP-80 DF BLOCK,10,2,SP03000210-09A,80HP CENTER PLATE A D42 PBT,1.00000000,1450.00000000
HPI,3J00000089,1,DFB6602001,HP-80 DF BLOCK,10,3,SP03000220-08A,80HP CENTER PLATE B D42 PBT,1.00000000,1450.00000000
HPI,3J00000089,1,DFB6602001,HP-80 DF BLOCK,10,4,TP04600200-02,HP-80 Teflon Set,2.00000000,2900.00000000
HPI,3J00000089,1,DFB6602001,HP-80 DF BLOCK,10,5,CS06400101-06,xx)co)80HP DIAPHRAGM BASE PBT TYPE SK602,1.00000000,1440.00000000
HPI,3J00000089,1,DFB6602001,HP-80 DF BLOCK,10,6,DR06400100-06,co)HP-80 DIAPHRAGM RING (60L),1.00000000,1440.00000000
HPI,3J00000091,1,EM0751840P,80XP EM D0.35x2005T 230VCE ECO 2P,10,1,BB07510100-04A,XP-80 TR BOBBIN,1.00000000,420.00000000
HPI,3J00000091,1,EM0751840P,80XP EM D0.35x2005T 230VCE ECO 2P,10,2,TA04000500-01,xx)co)FX 40 LUG TERMINAL TYPE-I W/O L-AN,2.00000000,840.00000000
HPI,3J00000091,1,EM0751840P,80XP EM D0.35x2005T 230VCE ECO 2P,10,3,EW03500500-00,co)SELF-BONDING WIRE 1-CEW5PSF D0.35,0.27800000,116.76000000
HPI,3J00000091,1,EM0751840P,80XP EM D0.35x2005T 230VCE ECO 2P,10,4,ZT03009007,POLYESTER FILM TYPE 631S#25 9x0.025 CLEA,0.75000000,315.00000000
HPI,3J00000091,1,EM0751840P,80XP EM D0.35x2005T 230VCE ECO 2P,10,5,ZT01038007,COMBINATION TAPE TYPE 684S 38X0.42WT(50m,0.03800000,15.96000000
HPI,3J00000091,1,EM0751840P,80XP EM D0.35x2005T 230VCE ECO 2P,10,6,CR07500210-02A,XP-80 C-TYPE SPLIT CORE 2,1.00000000,740.00000000
HPI,3J00000092,1,EM0751841P,80XP EM D0.35x2005T 230VCE ECO P3P,10,1,BB07510100-04A,XP-80 TR BOBBIN,1.00000000,420.00000000
HPI,3J00000092,1,EM0751841P,80XP EM D0.35x2005T 230VCE ECO P3P,10,2,TA04000500-01,xx)co)FX 40 LUG TERMINAL TYPE-I W/O L-AN,3.00000000,1260.00000000
HPI,3J00000092,1,EM0751841P,80XP EM D0.35x2005T 230VCE ECO P3P,10,3,EW03500500-00,co)SELF-BONDING WIRE 1-CEW5PSF D0.35,0.27800000,116.76000000
HPI,3J00000092,1,EM0751841P,80XP EM D0.35x2005T 230VCE ECO P3P,10,4,ZT03009007,POLYESTER FILM TYPE 631S#25 9x0.025 CLEA,0.75000000,315.00000000
HPI,3J00000092,1,EM0751841P,80XP EM D0.35x2005T 230VCE ECO P3P,10,5,ZT01038007,COMBINATION TAPE TYPE 684S 38X0.42WT(50m,0.03800000,15.96000000
HPI,3J00000092,1,EM0751841P,80XP EM D0.35x2005T 230VCE ECO P3P,10,6,OP07000100,THERMAL PROTECTOR TYPE ST-22(temp 105),1.00000000,420.00000000
HPI,3J00000092,1,EM0751841P,80XP EM D0.35x2005T 230VCE ECO P3P,10,7,CR07500200-02A,XP-80 C-TYPE SPLIT CORE 1,1.00000000,420.00000000
HPI,3J00000093,1,JHB1826501,L-HOSE SET (60),10,2,BI00000400,VINYL # 4 (0.03 x 90x 170mm),1.00000000,1250.00000000
