# Export Date: 2026-04-29 08:26:29
# Job Order: 3J73802302
# Record Count: 47
# Source: test.test_v_JobMat_mst
site_ref,job,suffix,item,description,oper_num,sequence,Material,MaterialDescription,matl_qty,qty_issued
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,1,SR08051701,SPACER 8-5-17 (HP-80),6.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,2,EM1660308P,HP-80 EM0.85×560 120V UL 2P,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,3,EM1660309P,HP-80 EM0.85×560 120V UL P3P,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,4,JH00701000,SILICONE RUBBER TUBE D10-7 100m/ROLL,0.01000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,5,NT04090410,NUT M4 typeII (trivalent),6.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,6,DFB6602001,HP-80 DF BLOCK,2.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,7,WA04090110-B,M4xD10x0.8 PLAIN WASHER (trivalent) (P),2.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,8,NT04090340-B,M4 LEAD LOCK NUT (trivalent) (P),2.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,9,RDB4600400,80HP MAGNETIZED FERRITE ROD,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,10,CSB6401012,HP-60/80 CASING BLOCK,2.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,11,NE042005A0,M4X20 P=2 (trivalent),8.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,12,NE050601A0,UNF#10-32x1/4 SCREW (trivalent),1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,13,NT05000200,CS PUSH NUT M5,4.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,14,NI08070125-01,80HP PARTITION BOARD ZAM w/Earth mark,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,15,CG00900100-02,120HP LEAD BUSHING D9 EPT,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,16,HB0179010P-01,HP-60~200 HOSE CLIP 17.5mm for L-TUBE (P,2.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,17,NE04081941-B,M4X8 P=3 BS EARTH SCREW,3.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,18,NE051210A1,M5X12 HEXAGON w/SMALL WASHER (trivalent),6.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,19,RG00900200,SUMI TUBE TYPE F2(Z) D9 BLACK 50m/ROLL,0.04000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,20,ECB81010MUT3,POWER CORD A'ssy SJTW 2m for 80HP,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,21,RG00900200,SUMI TUBE TYPE F2(Z) D9 BLACK 50m/ROLL,0.04000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,22,RCB3223009,GROUND WIRE A'ssy UL1015 AWG18 90mm G/Y,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,23,SWB0304010,HP-60/80/150/200/LL SR SWITCH A UL/CE,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,24,NE041214A0,M4x12 DELTA PT +BINDING HEAD (stainless,4.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,25,FI08000150,80HP FILTER t14 PS/400,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,26,NE06300270,FE ±BINDING M6x30 Doluflake+Maiko paint,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,27,NE052010A4-B,M5X20 P=3 HEXAGON BLACK (trivalent),4.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,28,LV08021132-01,HP-80-0115 UL LABEL,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,29,LV08005000-00,HP SEPTIC SOLUTION USER LABEL,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,30,LV00510730,DATE CODE,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,31,FCB8002100,80HP FILTER COVER A'ssy (ABS) w/ BUSH an,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,32,JHB1826511,L-HOSE SET (40),1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,33,DB08004430-01,HP-80 HIBLOW ARROW BOX,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,34,DB04002622-01,HP-30~80 SIDE PAD,2.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,35,DB08004501-01,HP-80 UPPER PAD,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,36,DB08004403,HP-80 BOTTOM PAD,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,37,AC19001200-01B,RATING LABEL 61x41(BLANK),1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,38,NP03000830-02A,80HP PARTITION GASKET t2 (E-4308),1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,39,FMB3270905,80HP FRAME ZAM w/ M4 TAP 15.8 A'ssy,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,40,HS08010057-05A,"HP-60/80 LOWER HOUSING (#10-32UNF,green)",1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,41,QN08000210-04A,80HP SOUND ABSORBING NET FUJIRON5000QN 7,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,42,CG00300401-02A,HP FRAME LEAD BUSHING D13,1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,43,DK00600300-02A,V.C.R. TYPE B2,4.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,44,LK14000200-03A,80HP L-TUBE Hs60,2.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,45,GK02000110-01A,RUBBER FOOT 20x5.5x12 EPT Hs40,4.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,46,HU08010027-06A,"HP-80 UPPER HOUSING (M6,D4.8, green)",1.00000000,0E-8
HPI,3J73802302,1,80HP20760P,HP-80-0115,10,47,KAB4000864,HP ENGLISH MANUAL SET SR w/ NOZZLE SET,1.00000000,0E-8
